drug,side_effect,label,query
lercanipidine,organ failure,0,Is organ failure an adverse effect of lercanipidine?
lercanipidine,cardiopulmonary failure,0,Is cardiopulmonary failure an adverse effect of lercanipidine?
lercanipidine,osteomalacia,0,Is osteomalacia an adverse effect of lercanipidine?
lercanipidine,epicondylitis,0,Is epicondylitis an adverse effect of lercanipidine?
lercanipidine,rectal discharge,0,Is rectal discharge an adverse effect of lercanipidine?
lercanipidine,gastrointestinal hypermotility,0,Is gastrointestinal hypermotility an adverse effect of lercanipidine?
lercanipidine,mean platelet volume decreased,0,Is mean platelet volume decreased an adverse effect of lercanipidine?
lercanipidine,lichen planus,0,Is lichen planus an adverse effect of lercanipidine?
lercanipidine,faecalith,0,Is faecalith an adverse effect of lercanipidine?
lormetazerpam,libido decreased,1,Is libido decreased an adverse effect of lormetazerpam?
lormetazerpam,dysgeusia,1,Is dysgeusia an adverse effect of lormetazerpam?
lormetazerpam,somnolence,1,Is somnolence an adverse effect of lormetazerpam?
lormetazerpam,visual impairment,1,Is visual impairment an adverse effect of lormetazerpam?
lormetazerpam,angioedema,1,Is angioedema an adverse effect of lormetazerpam?
lormetazerpam,hallucination,1,Is hallucination an adverse effect of lormetazerpam?
lormetazerpam,tension,1,Is tension an adverse effect of lormetazerpam?
lormetazerpam,urticaria,1,Is urticaria an adverse effect of lormetazerpam?
lormetazerpam,micturition disorder,1,Is micturition disorder an adverse effect of lormetazerpam?
lormetazerpam,disturbance in attention,1,Is disturbance in attention an adverse effect of lormetazerpam?
lormetazerpam,transplant failure,0,Is transplant failure an adverse effect of lormetazerpam?
lormetazerpam,loss of libido,0,Is loss of libido an adverse effect of lormetazerpam?
lormetazerpam,major depression,0,Is major depression an adverse effect of lormetazerpam?
lormetazerpam,renal infarct,0,Is renal infarct an adverse effect of lormetazerpam?
lormetazerpam,respiratory acidosis,0,Is respiratory acidosis an adverse effect of lormetazerpam?
lormetazerpam,laryngeal disorder,0,Is laryngeal disorder an adverse effect of lormetazerpam?
lormetazerpam,neoplasm prostate,0,Is neoplasm prostate an adverse effect of lormetazerpam?
lormetazerpam,aura,0,Is aura an adverse effect of lormetazerpam?
lormetazerpam,low density lipoprotein increased,0,Is low density lipoprotein increased an adverse effect of lormetazerpam?
lormetazerpam,hypoplastic anaemia,0,Is hypoplastic anaemia an adverse effect of lormetazerpam?
adeflovir,myalgia,1,Is myalgia an adverse effect of adeflovir?
adeflovir,anaemia,1,Is anaemia an adverse effect of adeflovir?
adeflovir,fracture,1,Is fracture an adverse effect of adeflovir?
adeflovir,liver disorder,1,Is liver disorder an adverse effect of adeflovir?
adeflovir,alanine aminotransferase increased,1,Is alanine aminotransferase increased an adverse effect of adeflovir?
adeflovir,blood creatinine increased,1,Is blood creatinine increased an adverse effect of adeflovir?
adeflovir,weight decreased,1,Is weight decreased an adverse effect of adeflovir?
adeflovir,hepatic failure,1,Is hepatic failure an adverse effect of adeflovir?
adeflovir,skin disorder,1,Is skin disorder an adverse effect of adeflovir?
adeflovir,hepatobiliary disease,1,Is hepatobiliary disease an adverse effect of adeflovir?
adeflovir,progesterone,0,Is progesterone an adverse effect of adeflovir?
adeflovir,postoperative wound infection,0,Is postoperative wound infection an adverse effect of adeflovir?
adeflovir,mesenteric artery thrombosis,0,Is mesenteric artery thrombosis an adverse effect of adeflovir?
adeflovir,blood phosphorus increased,0,Is blood phosphorus increased an adverse effect of adeflovir?
adeflovir,ear pruritus,0,Is ear pruritus an adverse effect of adeflovir?
adeflovir,ingrown hair,0,Is ingrown hair an adverse effect of adeflovir?
adeflovir,laceration,0,Is laceration an adverse effect of adeflovir?
adeflovir,vaginal mucosal blistering,0,Is vaginal mucosal blistering an adverse effect of adeflovir?
adeflovir,intermittent explosive disorder,0,Is intermittent explosive disorder an adverse effect of adeflovir?
adeflovir,postmenopausal haemorrhage,0,Is postmenopausal haemorrhage an adverse effect of adeflovir?
latanaprost,chest pain,1,Is chest pain an adverse effect of latanaprost?
latanaprost,eye irritation,1,Is eye irritation an adverse effect of latanaprost?
latanaprost,retinal detachment,1,Is retinal detachment an adverse effect of latanaprost?
latanaprost,rash,1,Is rash an adverse effect of latanaprost?
latanaprost,sensation of foreign body,1,Is sensation of foreign body an adverse effect of latanaprost?
latanaprost,pain,1,Is pain an adverse effect of latanaprost?
latanaprost,diplopia,1,Is diplopia an adverse effect of latanaprost?
latanaprost,keratitis,1,Is keratitis an adverse effect of latanaprost?
latanaprost,iris hyperpigmentation,1,Is iris hyperpigmentation an adverse effect of latanaprost?
latanaprost,conjunctivitis,1,Is conjunctivitis an adverse effect of latanaprost?
latanaprost,application site oedema,0,Is application site oedema an adverse effect of latanaprost?
latanaprost,anastomotic ulcer,0,Is anastomotic ulcer an adverse effect of latanaprost?
latanaprost,lung infection,0,Is lung infection an adverse effect of latanaprost?
latanaprost,proctitis ulcerative,0,Is proctitis ulcerative an adverse effect of latanaprost?
latanaprost,medication overuse headache,0,Is medication overuse headache an adverse effect of latanaprost?
latanaprost,accident,0,Is accident an adverse effect of latanaprost?
latanaprost,clonus,0,Is clonus an adverse effect of latanaprost?
latanaprost,spinal cord haemorrhage,0,Is spinal cord haemorrhage an adverse effect of latanaprost?
latanaprost,paraesthesia oral,0,Is paraesthesia oral an adverse effect of latanaprost?
latanaprost,type 1 diabetes mellitus,0,Is type 1 diabetes mellitus an adverse effect of latanaprost?
levabnolol,shock,1,Is shock an adverse effect of levabnolol?
levabnolol,loss of consciousness,1,Is loss of consciousness an adverse effect of levabnolol?
levabnolol,erectile dysfunction,1,Is erectile dysfunction an adverse effect of levabnolol?
levabnolol,bradycardia,1,Is bradycardia an adverse effect of levabnolol?
levabnolol,nasal congestion,1,Is nasal congestion an adverse effect of levabnolol?
levabnolol,visual impairment,1,Is visual impairment an adverse effect of levabnolol?
levabnolol,diplopia,1,Is diplopia an adverse effect of levabnolol?
levabnolol,chest pain,1,Is chest pain an adverse effect of levabnolol?
levabnolol,cardiac failure congestive,1,Is cardiac failure congestive an adverse effect of levabnolol?
levabnolol,dyspnoea,1,Is dyspnoea an adverse effect of levabnolol?
levabnolol,haemorrhage urinary tract,0,Is haemorrhage urinary tract an adverse effect of levabnolol?
levabnolol,injection site pruritus,0,Is injection site pruritus an adverse effect of levabnolol?
levabnolol,immunodeficiency,0,Is immunodeficiency an adverse effect of levabnolol?
levabnolol,sexual dysfunction,0,Is sexual dysfunction an adverse effect of levabnolol?
levabnolol,transient global amnesia,0,Is transient global amnesia an adverse effect of levabnolol?
levabnolol,joint swelling,0,Is joint swelling an adverse effect of levabnolol?
levabnolol,adrenal atrophy,0,Is adrenal atrophy an adverse effect of levabnolol?
levabnolol,temporomandibular joint syndrome,0,Is temporomandibular joint syndrome an adverse effect of levabnolol?
levabnolol,urethral haemorrhage,0,Is urethral haemorrhage an adverse effect of levabnolol?
levabnolol,erythromelalgia,0,Is erythromelalgia an adverse effect of levabnolol?
netaglinide,urine output increased,1,Is urine output increased an adverse effect of netaglinide?
netaglinide,influenza,1,Is influenza an adverse effect of netaglinide?
netaglinide,gastrointestinal pain,1,Is gastrointestinal pain an adverse effect of netaglinide?
netaglinide,hepatobiliary disease,1,Is hepatobiliary disease an adverse effect of netaglinide?
netaglinide,dermatitis,1,Is dermatitis an adverse effect of netaglinide?
netaglinide,osteoarthritis,1,Is osteoarthritis an adverse effect of netaglinide?
netaglinide,tremor,1,Is tremor an adverse effect of netaglinide?
netaglinide,asthenia,1,Is asthenia an adverse effect of netaglinide?
netaglinide,hepatic enzyme increased,1,Is hepatic enzyme increased an adverse effect of netaglinide?
netaglinide,neuropathy peripheral,1,Is neuropathy peripheral an adverse effect of netaglinide?
netaglinide,conjunctival oedema,0,Is conjunctival oedema an adverse effect of netaglinide?
netaglinide,cardiac hypertrophy,0,Is cardiac hypertrophy an adverse effect of netaglinide?
netaglinide,optic nerve disorder,0,Is optic nerve disorder an adverse effect of netaglinide?
netaglinide,intermittent claudication,0,Is intermittent claudication an adverse effect of netaglinide?
netaglinide,blood alkaline phosphatase increased,0,Is blood alkaline phosphatase increased an adverse effect of netaglinide?
netaglinide,dental discomfort,0,Is dental discomfort an adverse effect of netaglinide?
netaglinide,abortion,0,Is abortion an adverse effect of netaglinide?
netaglinide,breech presentation,0,Is breech presentation an adverse effect of netaglinide?
netaglinide,hypnagogic hallucination,0,Is hypnagogic hallucination an adverse effect of netaglinide?
netaglinide,oesophageal achalasia,0,Is oesophageal achalasia an adverse effect of netaglinide?
grisefulvin,angioedema,1,Is angioedema an adverse effect of grisefulvin?
grisefulvin,agranulocytosis,1,Is agranulocytosis an adverse effect of grisefulvin?
grisefulvin,vomiting,1,Is vomiting an adverse effect of grisefulvin?
grisefulvin,erythema multiforme,1,Is erythema multiforme an adverse effect of grisefulvin?
grisefulvin,systemic lupus erythematosus,1,Is systemic lupus erythematosus an adverse effect of grisefulvin?
grisefulvin,nausea,1,Is nausea an adverse effect of grisefulvin?
grisefulvin,rash,1,Is rash an adverse effect of grisefulvin?
grisefulvin,diarrhoea,1,Is diarrhoea an adverse effect of grisefulvin?
grisefulvin,gastrointestinal haemorrhage,1,Is gastrointestinal haemorrhage an adverse effect of grisefulvin?
grisefulvin,asthenia,1,Is asthenia an adverse effect of grisefulvin?
grisefulvin,testicular pain,0,Is testicular pain an adverse effect of grisefulvin?
grisefulvin,intranasal hypoaesthesia,0,Is intranasal hypoaesthesia an adverse effect of grisefulvin?
grisefulvin,penis disorder,0,Is penis disorder an adverse effect of grisefulvin?
grisefulvin,episcleritis,0,Is episcleritis an adverse effect of grisefulvin?
grisefulvin,rheumatoid arthritis,0,Is rheumatoid arthritis an adverse effect of grisefulvin?
grisefulvin,gastritis viral,0,Is gastritis viral an adverse effect of grisefulvin?
grisefulvin,hyperviscosity syndrome,0,Is hyperviscosity syndrome an adverse effect of grisefulvin?
grisefulvin,antitussive therapy,0,Is antitussive therapy an adverse effect of grisefulvin?
grisefulvin,polymorphic light eruption,0,Is polymorphic light eruption an adverse effect of grisefulvin?
grisefulvin,breast calcifications,0,Is breast calcifications an adverse effect of grisefulvin?
