side_effect,query,drug,label
nervous system disorder,Which drugs cause nervous system disorder?,parecoxib,YES
nervous system disorder,Which drugs cause nervous system disorder?,ganciclovir,NO
nervous system disorder,What medications lead to nervous system disorder?,photofrin,YES
nervous system disorder,What medications lead to nervous system disorder?,hydralazine,NO
nervous system disorder,List drugs associated with nervous system disorder,letrozole,YES
nervous system disorder,List drugs associated with nervous system disorder,nefazodone,NO
thrombocytopenia,Which drugs cause thrombocytopenia?,amlodipine,YES
thrombocytopenia,Which drugs cause thrombocytopenia?,abarelix,NO
thrombocytopenia,What medications lead to thrombocytopenia?,carbenicillin,YES
thrombocytopenia,What medications lead to thrombocytopenia?,alfentanil,NO
thrombocytopenia,List drugs associated with thrombocytopenia,ixabepilone,YES
thrombocytopenia,List drugs associated with thrombocytopenia,fexofenadine,NO
tachycardia,Which drugs cause tachycardia?,tr-700,YES
tachycardia,Which drugs cause tachycardia?,cefadroxil,NO
tachycardia,What medications lead to tachycardia?,a77,YES
tachycardia,What medications lead to tachycardia?,oxytetracycline,NO
tachycardia,List drugs associated with tachycardia,quinaprilat,YES
tachycardia,List drugs associated with tachycardia,thiazide,NO
arthralgia,Which drugs cause arthralgia?,vildagliptin,YES
arthralgia,Which drugs cause arthralgia?,triamcinolone,NO
arthralgia,What medications lead to arthralgia?,valganciclovir,YES
arthralgia,What medications lead to arthralgia?,ceftriaxone,NO
arthralgia,List drugs associated with arthralgia,everolimus,YES
arthralgia,List drugs associated with arthralgia,chloramphenicol,NO
infection,Which drugs cause infection?,letrozole,YES
infection,Which drugs cause infection?,acetaminophen,NO
infection,What medications lead to infection?,nitrogen,YES
infection,What medications lead to infection?,ivermectin,NO
infection,List drugs associated with infection,methyl,YES
infection,List drugs associated with infection,lacosamide,NO
musculoskeletal discomfort,Which drugs cause musculoskeletal discomfort?,bendamustine,YES
musculoskeletal discomfort,Which drugs cause musculoskeletal discomfort?,methyl,NO
musculoskeletal discomfort,What medications lead to musculoskeletal discomfort?,clomiphene,YES
musculoskeletal discomfort,What medications lead to musculoskeletal discomfort?,fenoprofen,NO
musculoskeletal discomfort,List drugs associated with musculoskeletal discomfort,alendronate,YES
musculoskeletal discomfort,List drugs associated with musculoskeletal discomfort,hydroxyurea,NO
chest pain,Which drugs cause chest pain?,gadobenate,YES
chest pain,Which drugs cause chest pain?,dacarbazine,NO
chest pain,What medications lead to chest pain?,travoprost,YES
chest pain,What medications lead to chest pain?,tramazoline,NO
chest pain,List drugs associated with chest pain,clarithromycin,YES
chest pain,List drugs associated with chest pain,ceftazidime,NO
cough,Which drugs cause cough?,bortezomib,YES
cough,Which drugs cause cough?,nitroprusside,NO
cough,What medications lead to cough?,hydromorphone,YES
cough,What medications lead to cough?,miglustat,NO
cough,List drugs associated with cough,desonide,YES
cough,List drugs associated with cough,ketamine,NO
oedema,Which drugs cause oedema?,diatrizoate,YES
oedema,Which drugs cause oedema?,abarelix,NO
oedema,What medications lead to oedema?,bosentan,YES
oedema,What medications lead to oedema?,efavirenz,NO
oedema,List drugs associated with oedema,nimodipine,YES
oedema,List drugs associated with oedema,ioversol,NO
myalgia,Which drugs cause myalgia?,temsirolimus,YES
myalgia,Which drugs cause myalgia?,penciclovir,NO
myalgia,What medications lead to myalgia?,cas,YES
myalgia,What medications lead to myalgia?,dalbavancin,NO
myalgia,List drugs associated with myalgia,voriconazole,YES
myalgia,List drugs associated with myalgia,bromocriptine,NO
hypertension,Which drugs cause hypertension?,mirtazapine,YES
hypertension,Which drugs cause hypertension?,iloprost,NO
hypertension,What medications lead to hypertension?,lomefloxacin,YES
hypertension,What medications lead to hypertension?,benzathine,NO
hypertension,List drugs associated with hypertension,atazanavir,YES
hypertension,List drugs associated with hypertension,scopolamine,NO
decreased appetite,Which drugs cause decreased appetite?,digoxin,YES
decreased appetite,Which drugs cause decreased appetite?,nitroprusside,NO
decreased appetite,What medications lead to decreased appetite?,pantoprazole,YES
decreased appetite,What medications lead to decreased appetite?,diethylpropion,NO
decreased appetite,List drugs associated with decreased appetite,amsacrine,YES
decreased appetite,List drugs associated with decreased appetite,doxapram,NO
dry mouth,Which drugs cause dry mouth?,trovafloxacin,YES
dry mouth,Which drugs cause dry mouth?,sevelamer,NO
dry mouth,What medications lead to dry mouth?,fexofenadine,YES
dry mouth,What medications lead to dry mouth?,fludarabine,NO
dry mouth,List drugs associated with dry mouth,conivaptan,YES
dry mouth,List drugs associated with dry mouth,auranofin,NO
anxiety,Which drugs cause anxiety?,risedronate,YES
anxiety,Which drugs cause anxiety?,nalidixic,NO
anxiety,What medications lead to anxiety?,reserpine,YES
anxiety,What medications lead to anxiety?,bromfenac,NO
anxiety,List drugs associated with anxiety,mdv3100,YES
anxiety,List drugs associated with anxiety,thiabendazole,NO
feeling abnormal,Which drugs cause feeling abnormal?,oseltamivir,YES
feeling abnormal,Which drugs cause feeling abnormal?,6-thioguanine,NO
feeling abnormal,What medications lead to feeling abnormal?,sertraline,YES
feeling abnormal,What medications lead to feeling abnormal?,silver,NO
feeling abnormal,List drugs associated with feeling abnormal,alpha-methyl-p-tyrosine,YES
feeling abnormal,List drugs associated with feeling abnormal,pge2,NO
confusional state,Which drugs cause confusional state?,mycophenolic,YES
confusional state,Which drugs cause confusional state?,clodronate,NO
confusional state,What medications lead to confusional state?,pergolide,YES
confusional state,What medications lead to confusional state?,nevirapine,NO
confusional state,List drugs associated with confusional state,amoxicillin,YES
confusional state,List drugs associated with confusional state,cefuroxime,NO
angioedema,Which drugs cause angioedema?,clonidine,YES
angioedema,Which drugs cause angioedema?,nizatidine,NO
angioedema,What medications lead to angioedema?,dapagliflozin,YES
angioedema,What medications lead to angioedema?,nizatidine,NO
angioedema,List drugs associated with angioedema,cyclizine,YES
angioedema,List drugs associated with angioedema,oxymetholone,NO
convulsion,Which drugs cause convulsion?,abacavir,YES
convulsion,Which drugs cause convulsion?,capsaicin,NO
convulsion,What medications lead to convulsion?,thiabendazole,YES
convulsion,What medications lead to convulsion?,glutamine,NO
convulsion,List drugs associated with convulsion,vinflunine,YES
convulsion,List drugs associated with convulsion,bendrofluazide,NO
agitation,Which drugs cause agitation?,lithium,YES
agitation,Which drugs cause agitation?,fluvastatin,NO
agitation,What medications lead to agitation?,tegaserod,YES
agitation,What medications lead to agitation?,diltiazem,NO
agitation,List drugs associated with agitation,fluvoxamine,YES
agitation,List drugs associated with agitation,5-aza-2'-deoxycytidine,NO
anaemia,Which drugs cause anaemia?,delamanid,YES
anaemia,Which drugs cause anaemia?,fluorometholone,NO
anaemia,What medications lead to anaemia?,cgp,YES
anaemia,What medications lead to anaemia?,halcinonide,NO
anaemia,List drugs associated with anaemia,raltegravir,YES
anaemia,List drugs associated with anaemia,iodipamide,NO
leukopenia,Which drugs cause leukopenia?,bendamustine,YES
leukopenia,Which drugs cause leukopenia?,naratriptan,NO
leukopenia,What medications lead to leukopenia?,prasugrel,YES
leukopenia,What medications lead to leukopenia?,bromazepam,NO
leukopenia,List drugs associated with leukopenia,mdv3100,YES
leukopenia,List drugs associated with leukopenia,bendrofluazide,NO
back pain,Which drugs cause back pain?,photofrin,YES
back pain,Which drugs cause back pain?,lithium,NO
back pain,What medications lead to back pain?,vincristine,YES
back pain,What medications lead to back pain?,lincomycin,NO
back pain,List drugs associated with back pain,fenoldopam,YES
back pain,List drugs associated with back pain,alfentanil,NO
palpitations,Which drugs cause palpitations?,n-methylscopolamine,YES
palpitations,Which drugs cause palpitations?,rotigotine,NO
palpitations,What medications lead to palpitations?,ephedrine,YES
palpitations,What medications lead to palpitations?,hydrocodone,NO
palpitations,List drugs associated with palpitations,lyxumia,YES
palpitations,List drugs associated with palpitations,lormetazepam,NO
malaise,Which drugs cause malaise?,allopurinol,YES
malaise,Which drugs cause malaise?,oxytetracycline,NO
malaise,What medications lead to malaise?,irinotecan,YES
malaise,What medications lead to malaise?,rasburicase,NO
malaise,List drugs associated with malaise,cabergoline,YES
malaise,List drugs associated with malaise,hydroxychloroquine,NO
erythema,Which drugs cause erythema?,nilotinib,YES
erythema,Which drugs cause erythema?,eptifibatide,NO
erythema,What medications lead to erythema?,apraclonidine,YES
erythema,What medications lead to erythema?,poly(styrene,NO
erythema,List drugs associated with erythema,diazepam,YES
erythema,List drugs associated with erythema,delta,NO
syncope,Which drugs cause syncope?,amoxapine,YES
syncope,Which drugs cause syncope?,trimethadione,NO
syncope,What medications lead to syncope?,acebutolol,YES
syncope,What medications lead to syncope?,edta,NO
syncope,List drugs associated with syncope,cetirizine,YES
syncope,List drugs associated with syncope,tipranavir,NO
vertigo,Which drugs cause vertigo?,telithromycin,YES
vertigo,Which drugs cause vertigo?,auranofin,NO
vertigo,What medications lead to vertigo?,cas,YES
vertigo,What medications lead to vertigo?,tropisetron,NO
vertigo,List drugs associated with vertigo,zoledronic,YES
vertigo,List drugs associated with vertigo,mometasone,NO
tremor,Which drugs cause tremor?,metformin,YES
tremor,Which drugs cause tremor?,flurazepam,NO
tremor,What medications lead to tremor?,methadone,YES
tremor,What medications lead to tremor?,fenofibrate,NO
tremor,List drugs associated with tremor,tapentadol,YES
tremor,List drugs associated with tremor,oxacillin,NO
shock,Which drugs cause shock?,ziprasidone,YES
shock,Which drugs cause shock?,rasburicase,NO
shock,What medications lead to shock?,rocuronium,YES
shock,What medications lead to shock?,capsaicin,NO
shock,List drugs associated with shock,ropinirole,YES
shock,List drugs associated with shock,fosamprenavir,NO
malnutrition,Which drugs cause malnutrition?,lasofoxifene,YES
malnutrition,Which drugs cause malnutrition?,isoproterenol,NO
malnutrition,What medications lead to malnutrition?,iloperidone,YES
malnutrition,What medications lead to malnutrition?,cimetidine,NO
malnutrition,List drugs associated with malnutrition,histamine,YES
malnutrition,List drugs associated with malnutrition,mefenamic,NO
vision blurred,Which drugs cause vision blurred?,tiaprofenic,YES
vision blurred,Which drugs cause vision blurred?,pralatrexate,NO
vision blurred,What medications lead to vision blurred?,clozapine,YES
vision blurred,What medications lead to vision blurred?,teniposide,NO
vision blurred,List drugs associated with vision blurred,quinidine,YES
vision blurred,List drugs associated with vision blurred,ephedrine,NO
hyperhidrosis,Which drugs cause hyperhidrosis?,cyclobenzaprine,YES
hyperhidrosis,Which drugs cause hyperhidrosis?,mitomycin,NO
hyperhidrosis,What medications lead to hyperhidrosis?,adenosine,YES
hyperhidrosis,What medications lead to hyperhidrosis?,metolazone,NO
hyperhidrosis,List drugs associated with hyperhidrosis,nitroprusside,YES
hyperhidrosis,List drugs associated with hyperhidrosis,roxithromycin,NO
dysgeusia,Which drugs cause dysgeusia?,salmon,YES
dysgeusia,Which drugs cause dysgeusia?,ixabepilone,NO
dysgeusia,What medications lead to dysgeusia?,aprepitant,YES
dysgeusia,What medications lead to dysgeusia?,fexofenadine,NO
dysgeusia,List drugs associated with dysgeusia,diclofenac,YES
dysgeusia,List drugs associated with dysgeusia,propantheline,NO
flatulence,Which drugs cause flatulence?,fe(iii,YES
flatulence,Which drugs cause flatulence?,methysergide,NO
flatulence,What medications lead to flatulence?,zonisamide,YES
flatulence,What medications lead to flatulence?,cinacalcet,NO
flatulence,List drugs associated with flatulence,deprenyl,YES
flatulence,List drugs associated with flatulence,conivaptan,NO
mental disorder,Which drugs cause mental disorder?,varenicline,YES
mental disorder,Which drugs cause mental disorder?,meclofenamate,NO
mental disorder,What medications lead to mental disorder?,scopolamine,YES
mental disorder,What medications lead to mental disorder?,alx,NO
mental disorder,List drugs associated with mental disorder,glat,YES
mental disorder,List drugs associated with mental disorder,nortriptyline,NO
muscle spasms,Which drugs cause muscle spasms?,fosphenytoin,YES
muscle spasms,Which drugs cause muscle spasms?,dolasetron,NO
muscle spasms,What medications lead to muscle spasms?,etoricoxib,YES
muscle spasms,What medications lead to muscle spasms?,midazolam,NO
muscle spasms,List drugs associated with muscle spasms,treprostinil,YES
muscle spasms,List drugs associated with muscle spasms,diazoxide,NO
chills,Which drugs cause chills?,oxcarbazepine,YES
chills,Which drugs cause chills?,raltitrexed,NO
chills,What medications lead to chills?,dasatinib,YES
chills,What medications lead to chills?,tiaprofenic,NO
chills,List drugs associated with chills,v,YES
chills,List drugs associated with chills,hydroxychloroquine,NO
alopecia,Which drugs cause alopecia?,spironolactone,YES
alopecia,Which drugs cause alopecia?,nicorandil,NO
alopecia,What medications lead to alopecia?,gefitinib,YES
alopecia,What medications lead to alopecia?,orphenadrine,NO
alopecia,List drugs associated with alopecia,vemurafenib,YES
alopecia,List drugs associated with alopecia,tolmetin,NO
skin disorder,Which drugs cause skin disorder?,ranolazine,YES
skin disorder,Which drugs cause skin disorder?,aspirin,NO
skin disorder,What medications lead to skin disorder?,ticagrelor,YES
skin disorder,What medications lead to skin disorder?,lodoxamide,NO
skin disorder,List drugs associated with skin disorder,tesamorelin,YES
skin disorder,List drugs associated with skin disorder,labetalol,NO
mediastinal disorder,Which drugs cause mediastinal disorder?,hydroxybutyrate,YES
mediastinal disorder,Which drugs cause mediastinal disorder?,frovatriptan,NO
mediastinal disorder,What medications lead to mediastinal disorder?,sevoflurane,YES
mediastinal disorder,What medications lead to mediastinal disorder?,furosemide,NO
mediastinal disorder,List drugs associated with mediastinal disorder,etoposide,YES
mediastinal disorder,List drugs associated with mediastinal disorder,sibutramine,NO
angiopathy,Which drugs cause angiopathy?,avanafil,YES
angiopathy,Which drugs cause angiopathy?,cefadroxil,NO
angiopathy,What medications lead to angiopathy?,sorafenib,YES
angiopathy,What medications lead to angiopathy?,romidepsin,NO
angiopathy,List drugs associated with angiopathy,lanreotide,YES
angiopathy,List drugs associated with angiopathy,carbachol,NO
erythema multiforme,Which drugs cause erythema multiforme?,quetiapine,YES
erythema multiforme,Which drugs cause erythema multiforme?,lormetazepam,NO
erythema multiforme,What medications lead to erythema multiforme?,entacapone,YES
erythema multiforme,What medications lead to erythema multiforme?,aspirin,NO
erythema multiforme,List drugs associated with erythema multiforme,triphasil,YES
erythema multiforme,List drugs associated with erythema multiforme,mitotane,NO
immune system disorder,Which drugs cause immune system disorder?,riluzole,YES
immune system disorder,Which drugs cause immune system disorder?,prochlorperazine,NO
immune system disorder,What medications lead to immune system disorder?,estradiol,YES
immune system disorder,What medications lead to immune system disorder?,pge1,NO
immune system disorder,List drugs associated with immune system disorder,nitroglycerin,YES
immune system disorder,List drugs associated with immune system disorder,tropicamide,NO
nervousness,Which drugs cause nervousness?,meropenem,YES
nervousness,Which drugs cause nervousness?,clindamycin,NO
nervousness,What medications lead to nervousness?,efavirenz,YES
nervousness,What medications lead to nervousness?,nalidixic,NO
nervousness,List drugs associated with nervousness,flurbiprofen,YES
nervousness,List drugs associated with nervousness,aspirin,NO
flushing,Which drugs cause flushing?,guanidinium,YES
flushing,Which drugs cause flushing?,silodosin,NO
flushing,What medications lead to flushing?,eplerenone,YES
flushing,What medications lead to flushing?,molindone,NO
flushing,List drugs associated with flushing,bosentan,YES
flushing,List drugs associated with flushing,hydroxocobalamin,NO
gastrointestinal pain,Which drugs cause gastrointestinal pain?,carbamazepine,YES
gastrointestinal pain,Which drugs cause gastrointestinal pain?,roxithromycin,NO
gastrointestinal pain,What medications lead to gastrointestinal pain?,degarelix,YES
gastrointestinal pain,What medications lead to gastrointestinal pain?,nandrolone,NO
gastrointestinal pain,List drugs associated with gastrointestinal pain,tpgs,YES
gastrointestinal pain,List drugs associated with gastrointestinal pain,ge-132,NO
oedema peripheral,Which drugs cause oedema peripheral?,bimatoprost,YES
oedema peripheral,Which drugs cause oedema peripheral?,propafenone,NO
oedema peripheral,What medications lead to oedema peripheral?,etoricoxib,YES
oedema peripheral,What medications lead to oedema peripheral?,tobramycin,NO
oedema peripheral,List drugs associated with oedema peripheral,sodium,YES
oedema peripheral,List drugs associated with oedema peripheral,naloxone,NO
cardiac disorder,Which drugs cause cardiac disorder?,mycophenolic,YES
cardiac disorder,Which drugs cause cardiac disorder?,ceftizoxime,NO
cardiac disorder,What medications lead to cardiac disorder?,desmopressin,YES
cardiac disorder,What medications lead to cardiac disorder?,alosetron,NO
cardiac disorder,List drugs associated with cardiac disorder,indapamide,YES
cardiac disorder,List drugs associated with cardiac disorder,succinylcholine,NO
eye disorder,Which drugs cause eye disorder?,etoposide,YES
eye disorder,Which drugs cause eye disorder?,chlorpheniramine,NO
eye disorder,What medications lead to eye disorder?,methylene,YES
eye disorder,What medications lead to eye disorder?,actinomycin,NO
eye disorder,List drugs associated with eye disorder,ferumoxytol,YES
eye disorder,List drugs associated with eye disorder,mepivacaine,NO
arrhythmia,Which drugs cause arrhythmia?,iohexol,YES
arrhythmia,Which drugs cause arrhythmia?,bendamustine,NO
arrhythmia,What medications lead to arrhythmia?,flurbiprofen,YES
arrhythmia,What medications lead to arrhythmia?,cantril,NO
arrhythmia,List drugs associated with arrhythmia,niacin,YES
arrhythmia,List drugs associated with arrhythmia,gemfibrozil,NO
discomfort,Which drugs cause discomfort?,k779,YES
discomfort,Which drugs cause discomfort?,cephalexin,NO
discomfort,What medications lead to discomfort?,fusidic,YES
discomfort,What medications lead to discomfort?,esmolol,NO
discomfort,List drugs associated with discomfort,lomitapide,YES
discomfort,List drugs associated with discomfort,amoxicillin,NO
connective tissue disorder,Which drugs cause connective tissue disorder?,5-asa,YES
connective tissue disorder,Which drugs cause connective tissue disorder?,cyclobenzaprine,NO
connective tissue disorder,What medications lead to connective tissue disorder?,ixabepilone,YES
connective tissue disorder,What medications lead to connective tissue disorder?,colchicine,NO
connective tissue disorder,List drugs associated with connective tissue disorder,fluticasone/salmeterol,YES
connective tissue disorder,List drugs associated with connective tissue disorder,finasteride,NO
tinnitus,Which drugs cause tinnitus?,udca,YES
tinnitus,Which drugs cause tinnitus?,fluticasone,NO
tinnitus,What medications lead to tinnitus?,benazepril,YES
tinnitus,What medications lead to tinnitus?,naloxone,NO
tinnitus,List drugs associated with tinnitus,eletriptan,YES
tinnitus,List drugs associated with tinnitus,vildagliptin,NO
haemorrhage,Which drugs cause haemorrhage?,retinoic,YES
haemorrhage,Which drugs cause haemorrhage?,sitagliptin,NO
haemorrhage,What medications lead to haemorrhage?,busulfan,YES
haemorrhage,What medications lead to haemorrhage?,minocycline,NO
haemorrhage,List drugs associated with haemorrhage,nitric,YES
haemorrhage,List drugs associated with haemorrhage,trimethoprim,NO
pharyngitis,Which drugs cause pharyngitis?,l-dmp,YES
pharyngitis,Which drugs cause pharyngitis?,lovastatin,NO
pharyngitis,What medications lead to pharyngitis?,deprenyl,YES
pharyngitis,What medications lead to pharyngitis?,hydroflumethiazide,NO
pharyngitis,List drugs associated with pharyngitis,azelastine,YES
pharyngitis,List drugs associated with pharyngitis,metformin,NO
rhinitis,Which drugs cause rhinitis?,deferasirox,YES
rhinitis,Which drugs cause rhinitis?,pyridostigmine,NO
rhinitis,What medications lead to rhinitis?,conjugated,YES
rhinitis,What medications lead to rhinitis?,palonosetron,NO
rhinitis,List drugs associated with rhinitis,gemfibrozil,YES
rhinitis,List drugs associated with rhinitis,gadobutrol,NO
urinary tract disorder,Which drugs cause urinary tract disorder?,naproxen,YES
urinary tract disorder,Which drugs cause urinary tract disorder?,streptomycin,NO
urinary tract disorder,What medications lead to urinary tract disorder?,orlistat,YES
urinary tract disorder,What medications lead to urinary tract disorder?,adenosine,NO
urinary tract disorder,List drugs associated with urinary tract disorder,duloxetine,YES
urinary tract disorder,List drugs associated with urinary tract disorder,ciclopirox,NO
stomatitis,Which drugs cause stomatitis?,arsenic,YES
stomatitis,Which drugs cause stomatitis?,dfmo,NO
stomatitis,What medications lead to stomatitis?,trospium,YES
stomatitis,What medications lead to stomatitis?,primidone,NO
stomatitis,List drugs associated with stomatitis,acitretin,YES
stomatitis,List drugs associated with stomatitis,exemestane,NO
bradycardia,Which drugs cause bradycardia?,glycerol,YES
