index,drug,side_effect,label,output_pure_llm,output_format_a,output_format_b,output_graphrag
33,17-hydroxyprogesterone,meniere's disease,0,0,0,0,0
34,17-hydroxyprogesterone,multiple sclerosis,0,0,0,0,0
35,17-hydroxyprogesterone,myelodysplastic syndrome,0,0,0,0,0
36,17-hydroxyprogesterone,oligohydramnios,1,0,1,1,1
37,17-hydroxyprogesterone,oral mucosal blistering,0,0,0,0,0
38,17-hydroxyprogesterone,sinus bradycardia,0,0,0,0,0
39,17-hydroxyprogesterone,stillbirth,1,0,1,1,1
40,2-hydroxysuccinaldehyde,body temperature increased,1,0,1,1,1
41,2-hydroxysuccinaldehyde,body tinea,0,0,0,0,0
42,2-hydroxysuccinaldehyde,brain abscess,0,0,0,0,0
43,2-hydroxysuccinaldehyde,carotid artery thrombosis,0,0,0,0,0
44,2-hydroxysuccinaldehyde,chills,1,0,1,1,1
45,2-hydroxysuccinaldehyde,convulsion,1,0,1,1,1
46,2-hydroxysuccinaldehyde,cough,1,0,1,1,1
47,2-hydroxysuccinaldehyde,dizziness,1,0,1,1,1
48,2-hydroxysuccinaldehyde,dyshidrotic eczema,0,0,0,0,0
49,2-hydroxysuccinaldehyde,injection site pain,1,0,1,1,1
50,2-hydroxysuccinaldehyde,lordosis,0,0,0,0,0
51,2-hydroxysuccinaldehyde,multiple sclerosis,0,0,0,0,0
52,2-hydroxysuccinaldehyde,myocardial infarction,1,0,1,1,1
53,2-hydroxysuccinaldehyde,oedema,1,0,1,1,1
54,2-hydroxysuccinaldehyde,oropharyngeal swelling,0,0,0,0,0
55,2-hydroxysuccinaldehyde,respiratory tract congestion,1,0,1,1,1
56,2-hydroxysuccinaldehyde,retroperitoneal haematoma,0,0,0,0,0
57,2-hydroxysuccinaldehyde,synovitis,0,0,0,0,0
58,2-hydroxysuccinaldehyde,thrombosis in device,1,0,1,1,1
59,2-hydroxysuccinaldehyde,traumatic haematoma,0,0,0,0,0
60,4-methylpyrazole,abdominal pain,1,0,1,1,1
61,4-methylpyrazole,abnormal dreams,0,0,0,0,0
62,4-methylpyrazole,agitation,1,0,1,1,1
63,4-methylpyrazole,angiopathy,0,0,0,0,0
64,4-methylpyrazole,application site reaction,1,0,1,1,1
65,4-methylpyrazole,body temperature increased,1,0,1,1,1
66,4-methylpyrazole,ear infection,0,0,0,0,0
67,4-methylpyrazole,endophthalmitis,0,0,0,0,0
68,4-methylpyrazole,eosinophilia,1,0,1,1,1
69,4-methylpyrazole,feeling drunk,1,0,1,1,1
70,4-methylpyrazole,headache,1,0,1,1,1
71,4-methylpyrazole,hepatic pain,0,0,0,0,0
72,4-methylpyrazole,injection site extravasation,0,0,1,0,0
73,4-methylpyrazole,metastatic renal cell carcinoma,0,0,0,0,0
74,4-methylpyrazole,nightmare,0,0,0,0,0
75,4-methylpyrazole,pulmonary veno-occlusive disease,0,0,0,0,0
76,4-methylpyrazole,somnolence,1,0,1,1,1
77,4-methylpyrazole,throat tightness,0,0,0,0,0
78,4-methylpyrazole,vertigo,1,0,1,1,1
79,4-methylpyrazole,visual impairment,1,0,1,1,1
80,4-pba,abdominal pain,1,0,1,1,1
81,4-pba,angioimmunoblastic t-cell lymphoma,0,0,0,0,0
82,4-pba,aplastic anaemia,1,1,1,1,1
83,4-pba,arrhythmia,1,0,1,1,1
84,4-pba,atrial hypertrophy,0,0,0,0,0
85,4-pba,blood potassium decreased,1,0,1,1,1
86,4-pba,constipation,1,0,1,1,1
87,4-pba,deafness transitory,0,0,0,0,0
88,4-pba,depressed mood,0,0,1,1,0
89,4-pba,dermatitis,1,0,1,1,1
90,4-pba,hypokalaemia,1,1,1,1,1
91,4-pba,hyponatraemia,0,1,0,0,0
92,4-pba,meningioma benign,0,0,0,0,0
93,4-pba,oesophageal stenosis,0,0,0,0,0
94,4-pba,pancreatitis,1,0,1,1,1
95,4-pba,renal vein thrombosis,0,1,0,0,0
96,4-pba,shock,1,0,1,1,1
97,4-pba,skin disorder,1,0,1,1,1
98,4-pba,upper respiratory tract inflammation,0,0,0,0,0
99,4-pba,urticaria vesiculosa,0,0,0,0,0
100,5-aminolevulinic,abdominal pain lower,0,0,0,0,0
101,5-aminolevulinic,acne,1,0,1,1,1
102,5-aminolevulinic,atrioventricular block,0,0,0,0,0
103,5-aminolevulinic,bleeding time prolonged,0,0,0,0,0
104,5-aminolevulinic,blood potassium abnormal,0,0,0,0,0
105,5-aminolevulinic,blood thyroid stimulating hormone decreased,0,0,0,0,0
106,5-aminolevulinic,drug tolerance,0,0,0,0,0
107,5-aminolevulinic,erythema,1,0,1,1,1
108,5-aminolevulinic,eye disorder,1,0,1,1,1
109,5-aminolevulinic,hypofibrinogenaemia,0,0,0,0,0
110,5-aminolevulinic,induration,1,0,1,1,1
111,5-aminolevulinic,multiple allergies,0,0,0,0,0
112,5-aminolevulinic,oedema,1,0,1,1,1
113,5-aminolevulinic,photodermatosis,1,0,1,1,1
114,5-aminolevulinic,photosensitivity reaction,1,1,1,1,1
115,5-aminolevulinic,prothrombin time ratio,0,0,0,0,0
116,5-aminolevulinic,pulmonary fibrosis,0,0,0,0,0
117,5-aminolevulinic,respiratory failure,1,0,1,1,1
118,5-aminolevulinic,skin exfoliation,1,0,1,1,1
119,5-aminolevulinic,vomiting,1,0,1,1,1
120,5-asa,anaemia,1,0,1,1,1
121,5-asa,angioedema,1,0,1,1,1
122,5-asa,anuria,0,0,0,0,0
123,5-asa,application site haematoma,0,0,0,0,0
124,5-asa,arteriovenous fistula,0,0,0,0,0
125,5-asa,blood bicarbonate decreased,0,0,0,0,0
126,5-asa,blood urea increased,1,0,1,1,1
127,5-asa,breast discharge,0,0,0,0,0
128,5-asa,dyssomnia,0,0,0,1,0
129,5-asa,dysuria,1,0,0,1,1
130,5-asa,eschar,0,0,0,0,0
131,5-asa,haemorrhage,1,0,0,1,1
132,5-asa,hepatic enzyme increased,1,0,1,1,1
133,5-asa,hepatocellular injury,1,0,0,1,1
134,5-asa,histiocytosis,0,0,0,0,0
135,5-asa,intestinal obstruction,1,0,0,1,1
136,5-asa,nervousness,1,0,1,1,1
137,5-asa,otitis media acute,0,0,0,0,0
138,5-asa,vomiting,1,0,0,1,1
139,5-asa,wound haematoma,0,0,0,0,0
140,5-aza-2'-deoxycytidine,abdominal distension,1,0,1,1,1
141,5-aza-2'-deoxycytidine,acute myeloid leukaemia,0,1,0,0,0
142,5-aza-2'-deoxycytidine,anaemia vitamin b12 deficiency,0,0,1,0,0
143,5-aza-2'-deoxycytidine,blood disorder,1,0,1,1,1
144,5-aza-2'-deoxycytidine,blood urea increased,1,0,1,1,1
145,5-aza-2'-deoxycytidine,brain neoplasm,0,0,0,0,0
146,5-aza-2'-deoxycytidine,diarrhoea,1,0,1,1,1
147,5-aza-2'-deoxycytidine,diverticulum,0,0,0,0,0
148,5-aza-2'-deoxycytidine,dyspnoea,1,0,1,1,1
149,5-aza-2'-deoxycytidine,external ear disorder,0,0,1,0,0
150,5-aza-2'-deoxycytidine,floppy iris syndrome,0,0,0,0,0
151,5-aza-2'-deoxycytidine,fungal infection,1,0,1,1,1
152,5-aza-2'-deoxycytidine,haemoglobin normal,0,0,0,0,0
153,5-aza-2'-deoxycytidine,hyperglycaemia,1,0,0,1,1
154,5-aza-2'-deoxycytidine,hypoaesthesia,1,0,0,1,1
155,5-aza-2'-deoxycytidine,injection site cyst,0,0,0,0,0
156,5-aza-2'-deoxycytidine,lactase deficiency,0,0,0,0,0
157,5-aza-2'-deoxycytidine,myalgia,1,1,0,1,1
158,5-aza-2'-deoxycytidine,neuropathic arthropathy,0,0,0,0,0
159,5-aza-2'-deoxycytidine,skin disorder,1,1,1,1,1
160,5-azacytidine,abdominal tenderness,1,0,1,1,1
161,5-azacytidine,congestive cardiomyopathy,1,0,1,1,1
162,5-azacytidine,corneal oedema,0,0,0,0,0
163,5-azacytidine,delusion,0,0,0,0,0
164,5-azacytidine,facial neuralgia,0,0,0,0,0
165,5-azacytidine,febrile neutropenia,1,0,1,1,1
166,5-azacytidine,gastrointestinal disorder,1,1,1,1,1
167,5-azacytidine,gouty arthritis,0,0,0,0,0
168,5-azacytidine,haemorrhage intracranial,1,0,1,1,1
169,5-azacytidine,injection site haemorrhage,1,1,1,1,1
170,5-azacytidine,mouth haemorrhage,1,0,1,1,1
171,5-azacytidine,neutropenic sepsis,1,1,1,1,1
172,5-azacytidine,night sweats,1,0,0,1,1
173,5-azacytidine,opisthotonus,0,0,0,0,0
174,5-azacytidine,pharyngeal haemorrhage,0,0,0,0,0
175,5-azacytidine,salivary hypersecretion,0,0,0,0,0
176,5-azacytidine,sensory loss,0,0,0,1,0
177,5-azacytidine,skin lesion,1,1,0,1,1
178,5-azacytidine,tension,0,0,0,0,0
179,5-azacytidine,tremor,0,1,0,0,0
180,5-fluorocytosine,anal fistula,0,0,0,0,0
181,5-fluorocytosine,ataxia,1,0,1,1,1
182,5-fluorocytosine,body temperature increased,1,0,1,1,1
183,5-fluorocytosine,colitis ulcerative,1,0,1,1,1
184,5-fluorocytosine,disturbance in attention,0,0,0,0,0
185,5-fluorocytosine,dry mouth,1,0,1,1,1
186,5-fluorocytosine,epidural lipomatosis,0,0,0,0,0
187,5-fluorocytosine,haemoglobin,1,0,0,0,1
188,5-fluorocytosine,hallucination,1,0,1,1,1
189,5-fluorocytosine,hepatitis,1,0,1,1,1
190,5-fluorocytosine,hypersensitivity,1,1,1,1,1
191,5-fluorocytosine,hypoglycaemia,1,0,1,1,1
192,5-fluorocytosine,infusion site inflammation,0,1,0,0,0
193,5-fluorocytosine,intestinal diaphragm disease,0,0,0,0,0
194,5-fluorocytosine,oral pustule,0,0,0,0,0
195,5-fluorocytosine,skin tightness,0,0,0,0,0
196,5-fluorocytosine,spinal cord disorder,0,0,0,0,0
197,5-fluorocytosine,stargardt's disease,0,0,0,0,0
198,5-fluorocytosine,tooth malformation,0,0,0,0,0
199,5-fluorocytosine,ventricular dysfunction,1,0,1,1,1
200,5-fu,addison's disease,0,0,0,0,0
201,5-fu,adrenergic syndrome,0,0,0,0,0
202,5-fu,chest pain,1,0,1,1,1
203,5-fu,contusion,0,0,0,0,0
204,5-fu,dermatitis bullous,1,1,1,1,1
205,5-fu,developmental delay,1,0,1,1,1
206,5-fu,electrocardiogram st segment,1,0,1,1,1
207,5-fu,eosinophilia,1,1,1,1,1
208,5-fu,euphoric mood,1,0,1,1,1
209,5-fu,haemorrhage,1,1,1,1,1
210,5-fu,muscle tone disorder,0,0,0,0,0
211,5-fu,neuralgia,0,0,0,1,0
212,5-fu,oedema,1,1,1,1,1
213,5-fu,oral neoplasm benign,0,0,0,0,0
214,5-fu,paraparesis,0,0,0,0,0
215,5-fu,posterior capsule opacification,0,0,0,0,0
216,5-fu,prostatic specific antigen increased,0,0,0,0,0
217,5-fu,rash maculo-papular,1,1,0,1,1
218,5-fu,therapeutic response increased,0,0,0,0,0
219,5-fu,thrombocytopenia,1,0,0,1,1
220,6-mercaptopurine,alopecia,1,1,1,1,1
221,6-mercaptopurine,anaesthetic complication,0,0,0,0,0
222,6-mercaptopurine,application site swelling,0,0,0,0,0
223,6-mercaptopurine,body temperature increased,1,0,1,1,1
224,6-mercaptopurine,bone marrow toxicity,1,1,1,1,1
225,6-mercaptopurine,brugada syndrome,0,0,0,0,0
226,6-mercaptopurine,dental discomfort,0,0,0,0,0
227,6-mercaptopurine,fungal skin infection,0,0,1,1,0
228,6-mercaptopurine,hepatocellular injury,1,1,1,1,1
229,6-mercaptopurine,hyperuricaemia,1,0,1,1,1
230,6-mercaptopurine,hyperuricosuria,1,0,1,1,1
231,6-mercaptopurine,leukoplakia oral,0,1,0,0,0
232,6-mercaptopurine,mouth ulceration,1,1,1,1,1
233,6-mercaptopurine,musculoskeletal discomfort,1,0,1,1,1
234,6-mercaptopurine,nasal obstruction,0,0,0,0,0
235,6-mercaptopurine,retching,0,0,0,0,0
236,6-mercaptopurine,rheumatoid arthritis,0,0,0,0,0
237,6-mercaptopurine,stomatitis,1,0,1,1,1
238,6-mercaptopurine,syndactyly,0,0,0,0,0
239,6-mercaptopurine,ulcer,1,1,1,1,1
240,6-thioguanine,alcohol abuse,1,0,1,1,1
241,6-thioguanine,anencephaly,0,0,0,0,0
242,6-thioguanine,anti-thyroid antibody positive,0,0,0,0,0
243,6-thioguanine,ascites,1,1,1,1,1
244,6-thioguanine,dyspnoea exertional,0,0,0,0,0
245,6-thioguanine,gastrointestinal necrosis,1,1,1,1,1
246,6-thioguanine,hepatomegaly,1,1,1,1,1
247,6-thioguanine,hyperuricaemia,1,1,1,1,1
248,6-thioguanine,infective myositis,0,0,0,0,0
249,6-thioguanine,laryngeal disorder,0,0,0,0,0
250,6-thioguanine,n-acetylglutamate synthase deficiency,0,0,0,0,0
251,6-thioguanine,pancytopenia,1,1,1,1,1
252,6-thioguanine,peliosis hepatis,1,1,1,1,1
253,6-thioguanine,rhinitis seasonal,0,0,0,0,0
254,6-thioguanine,stomatitis,1,0,1,1,1
255,6-thioguanine,urethral disorder,0,0,0,0,0
256,6-thioguanine,uterine pain,0,0,0,0,0
257,6-thioguanine,venoocclusive liver disease,1,1,1,1,1
258,6-thioguanine,weight increased,1,0,1,1,1
259,6-thioguanine,withdrawal bleed,0,0,0,0,0
260,8-mop,bipolar disorder,0,0,0,0,0
261,8-mop,dyslipidaemia,0,0,0,0,0
262,8-mop,dyspepsia,1,0,1,1,1
263,8-mop,erythema,1,1,1,1,1
264,8-mop,eschar,0,0,0,0,0
265,8-mop,folliculitis,1,0,1,1,1
266,8-mop,headache,1,0,1,1,1
267,8-mop,hepatocellular carcinoma,0,1,0,0,0
268,8-mop,hypopnoea,0,0,0,0,0
269,8-mop,ill-defined disorder,1,0,1,1,1
270,8-mop,infection,1,0,1,1,1
271,8-mop,inflammation,1,0,1,1,1
272,8-mop,meningocele,0,0,0,0,0
273,8-mop,muscle spasms,1,0,1,1,1
274,8-mop,rash macular,0,0,1,0,0
275,8-mop,solar lentigo,1,0,1,1,1
276,8-mop,status epilepticus,0,0,0,0,0
277,8-mop,sunburn,1,0,1,1,1
278,8-mop,ulcer,0,0,0,0,0
279,8-mop,vulvovaginitis,0,0,0,0,0
280,abacavir,aplasia pure red cell,1,0,1,1,1
281,abacavir,atrioventricular dissociation,0,0,0,0,0
282,abacavir,bacteraemia,0,0,0,0,0
283,abacavir,depression,1,1,1,1,1
284,abacavir,diarrhoea,1,1,1,1,1
285,abacavir,ectropion,0,0,0,0,0
286,abacavir,gastrointestinal disorder,1,1,1,1,1
287,abacavir,haemorrhage in pregnancy,0,0,0,0,0
288,abacavir,hepatomegaly,1,0,1,1,1
289,abacavir,hyperventilation,0,0,0,0,0
290,abacavir,inappropriate antidiuretic hormone secretion,0,0,0,0,0
291,abacavir,medication residue present,0,0,0,0,0
292,abacavir,mouth ulceration,1,1,1,1,1
293,abacavir,post procedural haemorrhage,0,0,0,0,0
294,abacavir,rhabdomyolysis,1,0,0,1,1
295,abacavir,splenomegaly,1,0,0,1,1
296,abacavir,toxic epidermal necrolysis,1,0,0,1,1
297,abacavir,troponin i increased,0,0,0,0,0
298,abacavir,vomiting,1,1,0,1,1
299,abacavir,white blood cell disorder,0,1,0,0,0
300,abarelix,abdominal symptom,0,0,0,0,0
301,abarelix,asthenia,1,1,1,1,1
302,abarelix,breast cancer male,0,0,0,0,0
303,abarelix,breast pain,1,0,1,1,1
304,abarelix,constipation,1,0,1,1,1
305,abarelix,crohn's disease,0,0,0,0,0
306,abarelix,diarrhoea,1,0,1,1,1
307,abarelix,disturbance in sexual arousal,0,1,0,0,0
308,abarelix,dizziness,1,1,1,1,1
309,abarelix,ear canal erythema,0,0,0,0,0
310,abarelix,erosive oesophagitis,0,0,0,0,0
311,abarelix,hypersensitivity,1,1,1,1,1
312,abarelix,influenza like illness,0,0,0,0,0
313,abarelix,jaw disorder,0,0,0,0,0
314,abarelix,nipple pain,1,0,1,1,1
315,abarelix,pain,1,0,1,1,1
316,abarelix,prolactinoma,0,0,0,0,0
317,abarelix,retinopathy proliferative,0,0,0,0,0
318,abarelix,sleep disorder,1,0,1,1,1
319,abarelix,urinary tract infection,1,0,1,1,1
320,acamprosate,abdominal symptom,0,0,1,1,0
321,acamprosate,acute lymphocytic leukaemia,0,0,0,0,0
322,acamprosate,blood bilirubin unconjugated increased,0,0,0,0,0
323,acamprosate,bowen's disease,0,0,0,0,0
324,acamprosate,chorea,0,0,0,0,0
325,acamprosate,cutaneous lupus erythematosus,0,0,0,0,0
326,acamprosate,dermatitis bullous,1,0,1,1,1
327,acamprosate,diplopia,1,0,1,1,1
328,acamprosate,dysaesthesia pharynx,0,0,0,0,0
329,acamprosate,eczema,1,0,1,1,1
330,acamprosate,gastric ulcer haemorrhage,0,0,0,0,0
331,acamprosate,hernia,1,0,1,1,1
332,acamprosate,hyperhidrosis,1,0,0,1,1
333,acamprosate,hypothyroidism,1,0,0,1,1
334,acamprosate,myopathy,1,0,0,1,1
335,acamprosate,nerve compression,0,0,0,0,0
336,acamprosate,neurosis,1,0,0,1,1
337,acamprosate,photophobia,1,0,0,1,1
338,acamprosate,suicidal ideation,1,0,0,1,1
339,acamprosate,urinary tract pain,0,0,0,0,0
340,acarbose,angiopathy,1,0,1,1,1
341,acarbose,burns second degree,0,0,0,0,0
342,acarbose,clumsiness,0,0,0,0,0
343,acarbose,constipation,1,1,1,1,1
344,acarbose,corneal scar,0,0,0,0,0
345,acarbose,dermatitis,1,0,1,1,1
346,acarbose,hepatic cyst,0,0,0,0,0
347,acarbose,hepatitis fulminant,1,0,1,1,1
348,acarbose,infertility female,0,0,0,0,0
349,acarbose,intussusception,1,0,1,1,1
350,acarbose,liver injury,1,0,1,1,1
351,acarbose,macular fibrosis,0,0,0,0,0
352,acarbose,nausea,1,1,1,1,1
353,acarbose,neuropathic arthropathy,0,0,0,0,0
354,acarbose,pneumoperitoneum,1,0,1,1,1
355,acarbose,rectal haemorrhage,1,0,1,1,1
356,acarbose,sexually transmitted disease,0,0,0,0,0
357,acarbose,vaginal prolapse,0,0,0,0,0
358,acarbose,vertigo cns origin,0,0,0,0,0
359,acarbose,volvulus,1,0,1,1,1
360,acebutolol,alveolar osteitis,0,0,0,0,0
361,acebutolol,aspartate aminotransferase increased,1,0,1,1,1
362,acebutolol,atrioventricular block,1,1,0,1,1
363,acebutolol,body temperature increased,1,0,1,1,1
364,acebutolol,colitis ischaemic,1,0,1,1,1
365,acebutolol,cytomegalovirus infection,0,0,0,0,0
366,acebutolol,depression,1,0,1,1,1
367,acebutolol,feeling abnormal,1,0,1,1,1
368,acebutolol,gastritis haemorrhagic,0,0,0,0,0
369,acebutolol,headache,1,1,1,1,1
370,acebutolol,hyperphosphataemia,0,0,0,0,0
371,acebutolol,lip dry,0,0,0,0,0
372,acebutolol,lipohypertrophy,0,0,0,0,0
373,acebutolol,malignant neoplasm of renal pelvis,0,0,0,0,0
374,acebutolol,nausea,1,1,1,1,1
375,acebutolol,plantar fasciitis,0,0,0,0,0
376,acebutolol,premature ejaculation,0,0,0,0,0
377,acebutolol,prolonged labour,0,0,0,0,0
378,acebutolol,somnolence,1,1,0,1,1
379,acebutolol,systemic lupus erythematosus,1,0,0,1,1
380,acenocoumarol,abdominal symptom,1,0,1,1,1
381,acenocoumarol,blood pressure inadequately controlled,0,0,0,0,0
382,acenocoumarol,breast cancer male,0,0,0,0,0
383,acenocoumarol,breast discharge,0,0,0,0,0
384,acenocoumarol,coagulopathy,1,1,1,1,1
385,acenocoumarol,dacryocanaliculitis,0,0,0,0,0
386,acenocoumarol,decreased appetite,1,0,1,1,1
387,acenocoumarol,depersonalisation,0,0,0,0,0
388,acenocoumarol,haemobilia,1,0,1,1,1
389,acenocoumarol,haemorrhage,1,1,1,1,1
390,acenocoumarol,liver injury,1,1,1,1,1
391,acenocoumarol,macular pigmentation,0,0,0,0,0
392,acenocoumarol,nausea,1,0,1,1,1
393,acenocoumarol,oral candidiasis,0,0,0,0,0
394,acenocoumarol,retinal depigmentation,0,0,0,0,0
395,acenocoumarol,skin necrosis,1,0,1,1,1
396,acenocoumarol,urticaria,1,0,1,1,1
397,acenocoumarol,venous thrombosis,0,1,0,0,0
398,acenocoumarol,vitamin b12 deficiency,0,0,0,0,0
399,acenocoumarol,vomiting,1,0,1,1,1
400,acetaminophen,bladder fibrosis,0,0,0,0,0
401,acetaminophen,bronchospasm,1,0,1,1,1
402,acetaminophen,dizziness,1,0,1,1,1
403,acetaminophen,dysphoria,1,0,1,1,1
404,acetaminophen,gastroenteritis adenovirus,0,0,0,0,0
405,acetaminophen,gingival disorder,0,0,0,0,0
406,acetaminophen,keloid scar,0,0,0,0,0
407,acetaminophen,kounis syndrome,1,0,0,1,1
408,acetaminophen,neutropenia,1,0,0,1,1
409,acetaminophen,osteosarcoma metastatic,0,0,0,0,0
410,acetaminophen,pain in extremity,1,0,1,1,1
411,acetaminophen,pancreatic necrosis,0,0,0,0,0
412,acetaminophen,pleural infection,0,0,0,0,0
413,acetaminophen,psoriasis,0,0,0,0,0
414,acetaminophen,rash macular,1,0,0,1,1
415,acetaminophen,rash pustular,1,0,0,1,1
416,acetaminophen,respiratory moniliasis,0,0,0,0,0
417,acetaminophen,sweat gland tumour,0,0,0,0,0
418,acetaminophen,thrombocytopenia,1,0,0,1,1
419,acetaminophen,wheezing,1,0,0,1,1
420,acetazolamide,abnormal dreams,0,1,1,0,0
421,acetazolamide,abnormal withdrawal bleeding,0,1,0,0,0
422,acetazolamide,agitation,1,1,1,1,1
423,acetazolamide,anaphylactic shock,1,0,1,1,1
424,acetazolamide,chloropsia,0,0,0,0,0
425,acetazolamide,hepatobiliary disease,1,0,1,1,1
426,acetazolamide,hyperprolactinaemia,0,0,0,0,0
427,acetazolamide,hypoglycaemia,1,1,1,1,1
428,acetazolamide,injection site pain,1,0,1,1,1
429,acetazolamide,mixed liver injury,0,1,1,0,0
430,acetazolamide,paraesthesia,1,1,1,1,1
431,acetazolamide,pseudofolliculitis barbae,0,0,0,0,0
432,acetazolamide,sedation,0,0,0,1,0
433,acetazolamide,thirst,1,1,1,1,1
434,acetazolamide,thrombocytopenia,1,0,1,1,1
435,acetazolamide,thrombocytopenic purpura,1,0,1,1,1
436,acetazolamide,transfusion reaction,0,0,0,0,0
437,acetazolamide,type iii immune complex mediated reaction,0,0,0,0,0
438,acetazolamide,urine output increased,1,0,1,1,1
439,acetazolamide,vulvovaginal pruritus,0,0,0,0,0
440,acetohydroxamic,abdominal discomfort,1,0,1,1,1
441,acetohydroxamic,anaemia,1,0,1,1,1
442,acetohydroxamic,blood bilirubin abnormal,0,0,0,0,0
443,acetohydroxamic,bulimia nervosa,0,0,0,0,0
444,acetohydroxamic,cardiac murmur,0,0,0,0,0
445,acetohydroxamic,decreased appetite,1,0,1,1,1
446,acetohydroxamic,disease progression,0,0,0,0,0
447,acetohydroxamic,endotracheal intubation complication,0,0,0,0,0
448,acetohydroxamic,fatigue,1,0,1,1,1
449,acetohydroxamic,feeling abnormal,1,0,1,1,1
450,acetohydroxamic,gastrointestinal disorder,1,0,1,1,1
451,acetohydroxamic,haemolytic anaemia,1,0,1,1,1
452,acetohydroxamic,headache,1,0,1,1,1
453,acetohydroxamic,nausea,1,0,1,1,1
454,acetohydroxamic,pituitary infarction,0,0,0,0,0
455,acetohydroxamic,respiratory disorder neonatal,0,0,0,0,0
456,acetohydroxamic,reticulocytosis,1,0,1,1,1
457,acetohydroxamic,scleritis,0,0,0,0,0
458,acetohydroxamic,status asthmaticus,0,0,0,0,0
459,acetohydroxamic,stillbirth,0,0,0,0,0
460,acipimox,arthralgia,1,0,1,1,1
461,acipimox,bronchospasm,1,0,1,1,1
462,acipimox,cervix haemorrhage uterine,0,0,0,0,0
463,acipimox,diarrhoea,1,0,1,1,1
464,acipimox,discomfort,1,1,1,1,1
465,acipimox,feeling abnormal,1,0,1,1,1
466,acipimox,flushing,1,0,1,1,1
467,acipimox,genital candidiasis,0,0,0,0,0
468,acipimox,hepatic angiosarcoma,0,0,0,0,0
469,acipimox,ill-defined disorder,1,0,1,1,1
470,acipimox,incomplete precocious puberty,0,0,0,0,0
471,acipimox,injection site joint pain,0,0,0,1,0
472,acipimox,myositis,1,0,1,1,1
473,acipimox,otitis externa,0,0,0,0,0
474,acipimox,sleep terror,0,0,0,0,0
475,acipimox,sudden unexplained death in epilepsy,0,0,0,0,0
476,acipimox,urticaria,1,0,1,1,1
477,acipimox,vascular anomaly,0,0,0,0,0
478,acipimox,vasodilation procedure,1,0,1,1,1
479,acipimox,weight increased,0,0,0,0,0
480,acitretin,autoimmune disorder,0,1,0,1,0
481,acitretin,candida infection,1,0,1,1,1
482,acitretin,cholestatic liver injury,0,1,1,0,0
483,acitretin,conjunctivitis,1,0,1,1,1
484,acitretin,deafness,1,0,1,1,1
485,acitretin,depression,1,1,1,1,1
486,acitretin,diarrhoea,1,1,1,1,1
487,acitretin,hair colour changes,1,1,0,1,1
488,acitretin,hyperamylasaemia,0,0,0,0,0
489,acitretin,insomnia,1,0,0,1,1
490,acitretin,monocyte count decreased,1,1,0,1,1
491,acitretin,muscle spasms,1,0,0,1,1
492,acitretin,neuromuscular block prolonged,0,0,0,0,0
493,acitretin,ocular icterus,0,0,1,0,0
494,acitretin,osteoporotic fracture,0,0,0,0,0
495,acitretin,paraesthesia,1,1,0,1,1
496,acitretin,pneumonia mycoplasmal,0,0,0,0,0
497,acitretin,respiratory paralysis,0,0,0,0,0
498,acitretin,therapeutic response decreased,0,0,0,0,0
499,acitretin,thyroid function test abnormal,0,0,0,0,0
500,acth(1-39,activated partial thromboplastin time prolonged,0,0,0,0,0
